YEAR,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS/MINUS,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST_Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS,RAFGM,RAFGA,RAFG%,NRAFGM,NRAFGA,NRAFG%,MRFGM,MRFGA,MRFG%,LC3M,LC3A,LC3%,RC3M,RC3A,RC3%,C3M,C3A,C3%,ATB3M,ATB3A,ATB3%,ORAFGM,ORAFGA,ORAFG%,ONRAFGM,ONRAFGA,ONRAFG%,OMRFGM,OMRFGA,OMRFG%,OLC3M,OLC3A,OLC3%,ORC3M,ORC3A,ORC3%,OC3M,OC3A,OC3%,OATB3M,OATB3A,OATB3%
2022,Charlotte Hornets,82,43,39,0.524,48.5,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,0.4,113.6,113.1,0.5,65.6,2.12,19.6,27,70.6,48.6,13.1,54.4,57.2,100.52,50.4,"8,322",20.1,31,64.6,5.6,14.5,38.8,3.2,7.8,40.8,2.4,6.2,38.3,1.8,5,36.1,4.2,11.3,37.3,9.7,26.6,36.5,18,28,64.3,6,13.8,43.4,4,9.6,41.2,2.4,6,39.7,1.8,5.1,35.5,4.2,11,37.7,9.8,27.5,35.7
2022,Dallas Mavericks,82,52,30,0.634,48.2,108,39.3,85.1,46.1,13.1,37.4,35,16.4,21.2,77.1,9.3,33.8,43,23.4,12.5,6.7,4,3.7,19.7,20.1,3.3,112.5,109.1,3.5,59.5,1.87,17.8,25.6,73.3,49.6,13,53.8,57.2,95.64,51.1,"7,871",14.5,20.9,69.4,7,15.5,45.1,4.8,11.5,41.3,2.1,5.3,39.1,1.9,4.8,39.8,4,10.1,39.5,9.1,27,33.6,16.3,24.4,66.7,7.3,17,42.8,4.5,11.9,38,1.6,4.4,35.4,1.6,3.9,41.2,3.2,8.4,38.1,7.7,23.5,32.8
2022,Los Angeles Lakers,82,33,49,0.402,48.7,112.1,41.6,88.8,46.9,12,34.5,34.7,16.8,23,73.2,9.5,34.5,44,24,14.5,7.6,5.2,4.1,20.2,20.1,-3,110,112.8,-2.9,57.6,1.65,17.3,25.6,72,49,14.2,53.7,56.7,100.47,48.2,"8,360",20.3,30.3,67,4.3,11.3,38.4,5.1,12.8,39.6,1.6,4.2,37.5,1.6,4.2,38.5,3.2,8.4,38,8.8,25.9,33.8,19.3,29,66.7,6.5,15.3,42.3,4.3,10.6,40.2,1.7,4.5,37.6,1.3,3.3,39.3,3,7.8,38.3,9.6,27.7,34.5
2022,Milwaukee Bucks,82,51,31,0.622,48.2,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.2,36.5,46.7,23.9,13.4,7.6,4,4.4,18.2,19.7,3.4,114.3,111.1,3.2,57.2,1.78,17.3,26.9,74.7,51.2,13.3,54.6,58,100.59,51.6,"8,284",16.6,24.5,67.8,5.9,14,41.8,5.3,12.5,42.3,2,4.9,41.4,1.7,4.6,37,3.7,9.5,39.3,10.3,28.7,35.9,15.3,23.1,66.2,6.6,15.1,43.5,5.1,11.9,42.8,1.7,4.7,37.1,1.5,4.2,34.3,3.2,8.9,35.8,11.3,31.5,35.8
2022,New York Knicks,82,37,45,0.451,48.2,106.5,37.7,86.2,43.7,13.2,36.9,35.7,18,24.1,74.4,11.5,34.6,46.1,21.9,13.3,7,4.9,4.6,20.4,20.4,-0.1,109.7,110.2,-0.4,58.1,1.65,16.4,29.1,74,51.2,13.7,51.3,55,96.42,49.1,"7,958",15.5,25,62,5.3,13.8,38.3,3.8,10.6,35.5,1.9,4.8,40.3,1.3,3.6,36.9,3.3,8.5,38.8,9.9,28.3,34.8,16.3,25.6,63.5,5.4,12.6,42.5,4.2,10.9,38.6,1.8,4.9,35.7,1.4,4.2,33.7,3.2,9.1,34.8,9.5,27.6,34.3
2022,Portland Trail Blazers,82,27,55,0.329,48.1,106.2,38.5,87.1,44.2,12.7,36.8,34.6,16.4,21.6,76,10.4,32.5,42.9,22.9,14.5,8,4.5,5,21.1,19.4,-8.9,107.3,116.3,-9.1,59.5,1.58,17,26.8,72.1,48.7,14.6,51.5,55,98.74,44.7,"8,120",16.1,26.7,60.3,5.8,13.9,41.9,4,9.8,40.3,1.5,4.1,36,1.5,3.9,38.7,3,8.1,37.3,9.7,28.5,33.9,17.9,26.9,66.5,5.9,13.1,44.9,3.6,8.9,41.2,2.4,6.1,38.8,2,4.9,41,4.4,11,39.8,9.3,25.9,36.1
2021,Charlotte Hornets,72,33,39,0.458,48.2,109.5,39.9,87.8,45.5,13.7,37,36.9,15.9,20.9,76.1,10.6,33.2,43.8,26.8,14.8,7.8,4.8,4.8,18,18.6,-1.9,110.1,112,-1.9,67.2,1.81,19.2,27.6,72.2,49.6,14.9,53.2,56.4,99,48.9,"7,159",17.4,28.9,60.3,5.6,13.3,41.8,3.3,8.6,38.1,1.9,4.7,39.5,1.7,3.9,43.5,3.6,8.6,41.3,10.1,28.2,35.8,18.7,29,64.5,4.9,11.3,42.9,3.2,8.3,39.1,2.4,5.7,41.7,2.1,5.7,37.3,4.5,11.3,39.5,10,28,35.6
2021,Dallas Mavericks,72,42,30,0.583,48.1,112.4,41.1,87.3,47,13.8,38.1,36.2,16.5,21.2,77.8,9.1,34.2,43.3,22.9,12.1,6.3,4.3,3.7,19.4,20.1,2.3,114.6,112.3,2.3,55.7,1.9,17.2,25.3,73.4,49.6,12.3,55,58.2,97.94,51,"7,062",15.6,22.9,68,6.5,14.5,45,5.2,11.8,43.9,1.6,4.2,37.5,1.5,4.1,37.2,3.1,8.2,37.3,10.7,29.7,36.1,16.2,25.1,64.8,6.4,15.4,41.4,4.6,11.4,40.5,1.4,3.8,37.3,1.4,3.7,36.7,2.8,7.5,37,10.1,27.5,36.7
2021,Los Angeles Lakers,72,42,30,0.583,48.5,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,9.7,34.6,44.2,24.7,15.2,7.8,5.4,4.5,19.1,21.3,2.8,109.8,106.8,2.9,60.7,1.62,18,26.9,74.8,51.1,15.2,53.6,56.9,98.85,51.7,"7,184",19.3,28.8,67.1,5.7,13.6,41.4,4.6,12.4,37.2,1.5,4.4,34.3,1.4,3.7,39,3,8.1,36.4,8.1,22.9,35.2,18.2,28.3,64.2,5.9,15.2,39.2,4.3,10.8,39.9,1.3,3.5,36.3,1.2,3.5,35,2.5,7,35.6,8.8,25,35.3
2021,Milwaukee Bucks,72,46,26,0.639,48.1,120.1,44.7,91.8,48.7,14.4,37.1,38.9,16.2,21.4,76,10.3,37.8,48.1,25.5,13.8,8.1,4.6,4.8,17.3,18.3,5.9,116.5,110.7,5.8,56.9,1.84,18,26.9,75.5,51.9,13.4,56.6,59.3,102.85,53.3,"7,423",18.1,26.8,67.5,6.3,14.1,44.3,5.9,13.8,43,1.7,3.8,43.8,1.7,4.4,38.2,3.3,8.2,40.8,11.1,28.8,38.6,14.3,23.4,61.3,7.2,16.9,42.8,6,14.1,42.7,1.8,4.1,43.4,1.7,3.9,44.2,3.5,8,43.8,11.3,30.4,37.3
